State,Make/Model,Thefts
New Mexico,Dodge Pickup (Full Size),269
New Mexico,GMC Pickup (Full Size),180
New Mexico,Jeep Cherokee/Grand Cherokee,149
New Mexico,Toyota Camry,128
New Mexico,Chevrolet Pickup (Small Size),101
New Mexico,Chevrolet Impala,90
New York,Honda Accord,724
New York,Honda Civic,707
New York,Toyota Camry,500
New York,Nissan Altima,374
New York,Dodge Caravan,368
New York,Ford Econoline E350,339
New York,Nissan Maxima,328
New York,Honda CR-V,283
New York,Toyota Corolla,280
New York,Jeep Cherokee/Grand Cherokee,263
North Carolina,Honda Accord,609
North Carolina,Ford Pickup (Full Size),424
North Carolina,Chevrolet Pickup (Full Size),370
North Carolina,Honda Civic,350
North Carolina,Toyota Camry,291
North Carolina,Nissan Altima,249
North Carolina,Jeep Cherokee/Grand Cherokee,203
North Carolina,Chevrolet Impala,194
North Carolina,Toyota Corolla,190
North Carolina,Ford Explorer,185
North Dakota,Chevrolet Pickup (Full Size),127
North Dakota,Ford Pickup (Full Size),101
North Dakota,Dodge Pickup (Full Size),49
North Dakota,GMC Pickup (Full Size),37
North Dakota,Chevrolet Impala,27
North Dakota,Honda Accord,23
North Dakota,Jeep Cherokee/Grand Cherokee,21
North Dakota,Chevrolet Pickup (Small Size),18
North Dakota,Pontiac Grand Am,17
North Dakota,Ford Taurus,16
Ohio,Dodge Caravan,679
Ohio,Chevrolet Pickup (Full Size),579
Ohio,Ford Pickup (Full Size),540
Ohio,Jeep Cherokee/Grand Cherokee,467
Ohio,Chevrolet Impala,441
Ohio,Honda Accord,437
Ohio,Chevrolet Malibu,343
Ohio,Honda Civic,325
Ohio,Toyota Camry,308
Ohio,Dodge Pickup (Full Size),297
Oklahoma,Chevrolet Pickup (Full Size),1143
Oklahoma,Ford Pickup (Full Size),780
Oklahoma,Dodge Pickup (Full Size),419
Oklahoma,GMC Pickup (Full Size),304
Oklahoma,Honda Civic,292
Oklahoma,Honda Accord,269
Oklahoma,Chevrolet Impala,181
Oklahoma,Chevrolet Pickup (Small Size),127
Oklahoma,Ford Explorer,123
Oklahoma,Chevrolet Malibu,119
Oregon,Honda Accord,1491
Oregon,Honda Civic,1276
Oregon,Subaru Legacy,377
Oregon,Ford Pickup (Full Size),295
Oregon,Toyota Camry,221
Oregon,Chevrolet Pickup (Full Size),217
Oregon,Acura Integra,209
Oregon,Subaru Impreza,171
Oregon,Honda CR-V,158
Oregon,Jeep Cherokee/Grand Cherokee,141
Pennsylvania,Honda Accord,544
Pennsylvania,Honda Civic,539
Pennsylvania,Ford Pickup (Full Size),303
Pennsylvania,Toyota Camry,269
Pennsylvania,Nissan Altima,261
Pennsylvania,Chevrolet Impala,224
Pennsylvania,Toyota Corolla,210
Pennsylvania,Chevrolet Pickup (Full Size),203
