State,Make/Model,Model Year,Thefts
Michigan,Jeep Cherokee/Grand Cherokee,2000,407
Michigan,Ford Fusion,2014,355
Minnesota,Honda Civic,1998,676
Minnesota,Honda Accord,1997,524
Minnesota,Chevrolet Pickup (Full Size),1999,329
Minnesota,Ford Pickup (Full Size),2005,246
Minnesota,Toyota Camry,1999,214
Minnesota,Honda CR-V,1999,190
Minnesota,Chevrolet Impala,2004,171
Minnesota,Dodge Caravan,2003,143
Minnesota,Toyota Corolla,2010,109
Minnesota,Acura Integra,1996,95
Mississippi,Chevrolet Pickup (Full Size),1994,286
Mississippi,Ford Pickup (Full Size),2006,278
Mississippi,Nissan Altima,2015,128
Mississippi,Chevrolet Impala,2006,114
Mississippi,GMC Pickup (Full Size),2000,103
Mississippi,Toyota Camry,2014,94
Mississippi,Honda Accord,2007,91
Mississippi,Dodge Pickup (Full Size),2005,85
Mississippi,Chevrolet Malibu,2015,73
Mississippi,Chevrolet Tahoe,2005,68
Missouri,Ford Pickup (Full Size),2004,880
Missouri,Chevrolet Pickup (Full Size),2000,783
Missouri,Dodge Caravan,2003,465
Missouri,Dodge Pickup (Full Size),2001,410
Missouri,Chevrolet Impala,2008,369
Missouri,Jeep Cherokee/Grand Cherokee,1998,289
Missouri,Honda Accord,1997,274
Missouri,Ford Taurus,2002,250
Missouri,Chevrolet Malibu,2015,243
Missouri,Toyota Camry,2014,236
Montana,Chevrolet Pickup (Full Size),1999,165
Montana,Ford Pickup (Full Size),1995,145
Montana,Dodge Pickup (Full Size),2006,78
Montana,GMC Pickup (Full Size),2008,55
Montana,Honda Accord,1994,52
Montana,Chevrolet Impala,2001,31
Montana,Ford Explorer,1996,27
Montana,Chevrolet Pickup (Small Size),1995,24
Montana,Toyota Camry,2015,23
Montana,Ford Pickup (Small Size),2000,22
Nebraska,Chevrolet Pickup (Full Size),1996,196
Nebraska,Ford Pickup (Full Size),1999,168
Nebraska,Honda Civic,1997,165
Nebraska,Honda Accord,1996,157
Nebraska,Dodge Pickup (Full Size),2001,102
